related_ticker,ticker
PYPL,DFS
UPST,DFS
NFLX,DIS
WBD,DIS
ROKU,DIS
AMC,DIS
SIRI,DIS
PARA,DIS
LYV,DIS
MANU,DIS
IQ,DIS
TKO,DIS
FLUT,DKNG
LTRY,DKNG
RSI,DKNG
IGT,DKNG
CHDN,DKNG
GAMB,DKNG
SGHC,DKNG
EVVTY,DKNG
EVO.ST,DKNG
LNW,DKNG
PODD,DXCM
TNDM,DXCM
BSX,DXCM
SENS,DXCM
ABT,DXCM
EW,DXCM
MDT,DXCM
SYK,DXCM
GMED,DXCM
TMDX,DXCM
HNST,ELF
EL,ELF
HIMS,ELF
PG,ELF
KVUE,ELF
CLX,ELF
CL,ELF
NWL,ELF
UL,ELF
COTY,ELF
IPAR,EPC
SPB,EPC
NUS,EPC
EWCZ,EPC
HELE,EPC
CHD,EPC
JHS.BO,EPC
YSG,EPC
HNST,EPC
CL,EPC
GLXY,ETOR
HOOD,ETOR
GLXY.TO,ETOR
MARA,ETOR
CLSK,ETOR
IBKR,ETOR
RIOT,ETOR
HUT,ETOR
WULF,ETOR
GS,ETOR
W,ETSY
JD,ETSY
EBAY,ETSY
CHWY,ETSY
SE,ETSY
PDD,ETSY
VIPS,ETSY
CART,ETSY
GLBE,ETSY
MELI,ETSY
BRZE,EXFY
PERF,EXFY
BLND,EXFY
ETWO,EXFY
VTEX,EXFY
SPNS,EXFY
FRSH,EXFY
ONTF,EXFY
BIGC,EXFY
SMWB,EXFY
BKNG,EXPE
TRIP,EXPE
ABNB,EXPE
TCOM,EXPE
RCL,EXPE
VIK,EXPE
NCLH,EXPE
CCL,EXPE
MMYT,EXPE
CUK,EXPE
DKNG,FLUT
GAMB,FLUT
LNW,FLUT
EVVTY,FLUT
SGHC,FLUT
IGT,FLUT
RSI,FLUT
CHDN,FLUT
EVO.ST,FLUT
GAN,FLUT
NWS,FOX
NWSA,FOX
TKO,FOX
IMAX,FOX
LLYVA,FOX
FWONK,FOX
CNK,FOX
PARAA,FOX
PARA,FOX
LLYVK,FOX
UPWK,FVRR
PINS,FVRR
ANGI,FVRR
BMBL,FVRR
BILI,FVRR
MTCH,FVRR
Z,FVRR
DASH,FVRR
ZG,FVRR
PERI,FVRR
CPAY,GDDY
VRSN,GDDY
GEN,GDDY
FFIV,GDDY
DBX,GDDY
FTNT,GDDY
SNPS,GDDY
CHKP,GDDY
KVYO,GDDY
TWLO,GDDY
CPB,GIS
CAG,GIS
KHC,GIS
HRL,GIS
K,GIS
SJM,GIS
MKC,GIS
KLG,GIS
FLO,GIS
LW,GIS
SPNT,GLRE
RNR-PG,GLRE
SPNT-PB,GLRE
HG,GLRE
RNR-PF,GLRE
RGA,GLRE
RNR,GLRE
EG,GLRE
SREN.SW,GLRE
F,GM
TM,GM
STLA,GM
HMC,GM
RIVN,GM
XPEV,GM
LI,GM
LCID,GM
NIO,GM
BYDDY,GM
META,GOOGL
RDDT,GOOGL
BIDU,GOOGL
NBIS,GOOGL
SPOT,GOOGL
SNAP,GOOGL
DJT,GOOGL
PINS,GOOGL
DASH,GOOGL
ASST,GOOGL
YELP,GRPN
BMBL,GRPN
UPWK,GRPN
Z,GRPN
ANGI,GRPN
DASH,GRPN
FVRR,GRPN
BILI,GRPN
OPRA,GRPN
AREN,GRPN
EL,HIMS
ELF,HIMS
HNST,HIMS
PG,HIMS
XAGE,HIMS
KVUE,HIMS
CL,HIMS
UL,HIMS
CLX,HIMS
NWL,HIMS
FOXO,HLTHQ
GDRX,HLTHQ
LGMK,HLTHQ
HCTI,HLTHQ
TM,HMC
NSANY,HMC
STLA,HMC
GM,HMC
F,HMC
RACE,HMC
VWAGY,HMC
HYMTF,HMC
